Number of nodes 4209 
     0 :  5.1257454e+00 -1.7738725e+01 
     1 :  5.1498345e+00 -1.7742417e+01 
     2 :  5.1805146e+00 -1.7752029e+01 
     3 :  5.2607848e+00 -1.7788047e+01 
     4 :  5.3648299e+00 -1.7844835e+01 
     5 :  5.4909236e+00 -1.7920451e+01 
     6 :  5.8023523e+00 -1.8120394e+01 
     7 :  6.1812615e+00 -1.8372334e+01 
     8 :  6.6138416e+00 -1.8660729e+01 
     9 :  7.0862833e+00 -1.8970036e+01 
    10 :  7.5847771e+00 -1.9284713e+01 
    11 :  7.8394780e+00 -1.9439208e+01 
    12 :  8.0955134e+00 -1.9589217e+01 
    13 :  8.3167122e+00 -1.9713847e+01 
    14 :  8.5364995e+00 -1.9832409e+01 
    15 :  8.7537591e+00 -1.9943648e+01 
    16 :  8.9673748e+00 -2.0046305e+01 
    17 :  9.1762303e+00 -2.0139125e+01 
    18 :  9.3792096e+00 -2.0220849e+01 
    19 :  9.5751962e+00 -2.0290221e+01 
    20 :  9.7630742e+00 -2.0345984e+01 
    21 :  9.8282490e+00 -2.0360832e+01 
    22 :  9.8937252e+00 -2.0371044e+01 
    23 :  9.9592833e+00 -2.0376685e+01 
    24 :  1.0024704e+01 -2.0377819e+01 
    25 :  1.0089767e+01 -2.0374511e+01 
    26 :  1.0154253e+01 -2.0366827e+01 
    27 :  1.0217944e+01 -2.0354832e+01 
    28 :  1.0280618e+01 -2.0338590e+01 
    29 :  1.0342057e+01 -2.0318166e+01 
    30 :  1.0402042e+01 -2.0293625e+01 
    31 :  1.0460352e+01 -2.0265032e+01 
    32 :  1.0516768e+01 -2.0232452e+01 
    33 :  1.0571071e+01 -2.0195950e+01 
    34 :  1.0623041e+01 -2.0155591e+01 
    35 :  1.0672459e+01 -2.0111440e+01 
    36 :  1.0719105e+01 -2.0063562e+01 
    37 :  1.0845219e+01 -1.9935566e+01 
    38 :  1.0984813e+01 -1.9814066e+01 
    39 :  1.1137241e+01 -1.9699456e+01 
    40 :  1.1301854e+01 -1.9592131e+01 
    41 :  1.1478005e+01 -1.9492486e+01 
    42 :  1.1665048e+01 -1.9400914e+01 
    43 :  1.1862334e+01 -1.9317812e+01 
    44 :  1.2069216e+01 -1.9243573e+01 
    45 :  1.2178543e+01 -1.9195756e+01 
    46 :  1.2274580e+01 -1.9148268e+01 
    47 :  1.2357939e+01 -1.9101142e+01 
    48 :  1.2429229e+01 -1.9054409e+01 
    49 :  1.2489063e+01 -1.9008099e+01 
    50 :  1.2538049e+01 -1.8962245e+01 
    51 :  1.2576799e+01 -1.8916878e+01 
    52 :  1.2605923e+01 -1.8872027e+01 
    53 :  1.2626031e+01 -1.8827726e+01 
    54 :  1.2637735e+01 -1.8784004e+01 
    55 :  1.2641643e+01 -1.8740894e+01 
    56 :  1.2638368e+01 -1.8698426e+01 
    57 :  1.2628519e+01 -1.8656632e+01 
    58 :  1.2612706e+01 -1.8615542e+01 
    59 :  1.2591541e+01 -1.8575189e+01 
    60 :  1.2565634e+01 -1.8535602e+01 
    61 :  1.2502035e+01 -1.8458856e+01 
    62 :  1.2426792e+01 -1.8385553e+01 
    63 :  1.2344790e+01 -1.8315942e+01 
    64 :  1.2260912e+01 -1.8250274e+01 
    65 :  1.2107064e+01 -1.8131764e+01 
    66 :  1.2046862e+01 -1.8079421e+01 
    67 :  1.2004319e+01 -1.8032019e+01 
    68 :  1.1987740e+01 -1.8002973e+01 
    69 :  1.1980920e+01 -1.7976249e+01 
    70 :  1.1983384e+01 -1.7951812e+01 
    71 :  1.1994656e+01 -1.7929627e+01 
    72 :  1.2014261e+01 -1.7909658e+01 
    73 :  1.2041725e+01 -1.7891870e+01 
    74 :  1.2076571e+01 -1.7876230e+01 
    75 :  1.2118326e+01 -1.7862700e+01 
    76 :  1.2220656e+01 -1.7841837e+01 
    77 :  1.2344916e+01 -1.7828999e+01 
    78 :  1.2487301e+01 -1.7823908e+01 
    79 :  1.2644012e+01 -1.7826282e+01 
    80 :  1.2811246e+01 -1.7835842e+01 
    81 :  1.2985202e+01 -1.7852308e+01 
    82 :  1.3162078e+01 -1.7875399e+01 
    83 :  1.3338072e+01 -1.7904835e+01 
    84 :  1.3509383e+01 -1.7940337e+01 
    85 :  1.3672208e+01 -1.7981623e+01 
    86 :  1.3822748e+01 -1.8028415e+01 
    87 :  1.3957198e+01 -1.8080431e+01 
    88 :  1.4025612e+01 -1.8112424e+01 
    89 :  1.4088026e+01 -1.8145956e+01 
    90 :  1.4144951e+01 -1.8180950e+01 
    91 :  1.4196894e+01 -1.8217327e+01 
    92 :  1.4287873e+01 -1.8293913e+01 
    93 :  1.4365037e+01 -1.8375089e+01 
    94 :  1.4432456e+01 -1.8460225e+01 
    95 :  1.4494203e+01 -1.8548695e+01 
    96 :  1.4616970e+01 -1.8733119e+01 
    97 :  1.4686133e+01 -1.8827818e+01 
    98 :  1.4765914e+01 -1.8923338e+01 
    99 :  1.4860382e+01 -1.9019051e+01 
   100 :  1.4973611e+01 -1.9114328e+01 
   101 :  1.5038533e+01 -1.9161607e+01 
   102 :  1.5109673e+01 -1.9208542e+01 
   103 :  1.5187538e+01 -1.9255054e+01 
   104 :  1.5272639e+01 -1.9301065e+01 
   105 :  1.5365484e+01 -1.9346495e+01 
   106 :  1.5466582e+01 -1.9391268e+01 
   107 :  1.5576443e+01 -1.9435303e+01 
   108 :  1.5695574e+01 -1.9478523e+01 
   109 :  1.5887747e+01 -1.9585553e+01 
   110 :  1.6064652e+01 -1.9700360e+01 
   111 :  1.6225989e+01 -1.9822305e+01 
   112 :  1.6300725e+01 -1.9885754e+01 
   113 :  1.6371457e+01 -1.9950748e+01 
   114 :  1.6438147e+01 -2.0017206e+01 
   115 :  1.6500756e+01 -2.0085049e+01 
   116 :  1.6559248e+01 -2.0154196e+01 
   117 :  1.6613586e+01 -2.0224568e+01 
   118 :  1.6663730e+01 -2.0296084e+01 
   119 :  1.6709644e+01 -2.0368665e+01 
   120 :  1.6751291e+01 -2.0442231e+01 
   121 :  1.6788632e+01 -2.0516701e+01 
   122 :  1.6821630e+01 -2.0591995e+01 
   123 :  1.6850247e+01 -2.0668035e+01 
   124 :  1.6874447e+01 -2.0744738e+01 
   125 :  1.6894190e+01 -2.0822027e+01 
   126 :  1.6909441e+01 -2.0899820e+01 
   127 :  1.6920161e+01 -2.0978038e+01 
   128 :  1.6926312e+01 -2.1056600e+01 
   129 :  1.6927857e+01 -2.1135427e+01 
   130 :  1.6924759e+01 -2.1214439e+01 
   131 :  1.6916979e+01 -2.1293555e+01 
   132 :  1.6904481e+01 -2.1372696e+01 
   133 :  1.6887226e+01 -2.1451781e+01 
   134 :  1.6865178e+01 -2.1530732e+01 
   135 :  1.6838298e+01 -2.1609467e+01 
   136 :  1.6806549e+01 -2.1687907e+01 
   137 :  1.6769893e+01 -2.1765971e+01 
   138 :  1.6568474e+01 -2.1770904e+01 
   139 :  1.6367428e+01 -2.1766347e+01 
   140 :  1.6166757e+01 -2.1752302e+01 
   141 :  1.5966459e+01 -2.1728767e+01 
   142 :  1.5766535e+01 -2.1695742e+01 
   143 :  1.5566985e+01 -2.1653229e+01 
   144 :  1.5367809e+01 -2.1601226e+01 
   145 :  1.5169007e+01 -2.1539733e+01 
   146 :  1.5215301e+01 -2.1639028e+01 
   147 :  1.5267838e+01 -2.1728544e+01 
   148 :  1.5326620e+01 -2.1808281e+01 
   149 :  1.5391645e+01 -2.1878239e+01 
   150 :  1.5462914e+01 -2.1938418e+01 
   151 :  1.5540426e+01 -2.1988819e+01 
   152 :  1.5624183e+01 -2.2029441e+01 
   153 :  1.5714183e+01 -2.2060284e+01 
   154 :  1.5810427e+01 -2.2081349e+01 
   155 :  1.5912916e+01 -2.2092637e+01 
   156 :  1.6021648e+01 -2.2094146e+01 
   157 :  1.6136624e+01 -2.2085877e+01 
   158 :  1.6257845e+01 -2.2067830e+01 
   159 :  1.6385309e+01 -2.2040005e+01 
   160 :  1.6519018e+01 -2.2002403e+01 
   161 :  1.6658971e+01 -2.1955023e+01 
   162 :  1.6562666e+01 -2.2085511e+01 
   163 :  1.6453015e+01 -2.2211100e+01 
   164 :  1.6330505e+01 -2.2331404e+01 
   165 :  1.6195624e+01 -2.2446034e+01 
   166 :  1.6048861e+01 -2.2554603e+01 
   167 :  1.5890704e+01 -2.2656722e+01 
   168 :  1.5721640e+01 -2.2752004e+01 
   169 :  1.5542158e+01 -2.2840061e+01 
   170 :  1.5663058e+01 -2.2920219e+01 
   171 :  1.5761276e+01 -2.2998663e+01 
   172 :  1.5838069e+01 -2.3075271e+01 
   173 :  1.5894693e+01 -2.3149922e+01 
   174 :  1.5915835e+01 -2.3186475e+01 
   175 :  1.5932406e+01 -2.3222492e+01 
   176 :  1.5944564e+01 -2.3257960e+01 
   177 :  1.5952465e+01 -2.3292862e+01 
   178 :  1.5956266e+01 -2.3327183e+01 
   179 :  1.5956125e+01 -2.3360908e+01 
   180 :  1.5944644e+01 -2.3426509e+01 
   181 :  1.5919279e+01 -2.3489543e+01 
   182 :  1.5881287e+01 -2.3549888e+01 
   183 :  1.5831923e+01 -2.3607423e+01 
   184 :  1.5772445e+01 -2.3662024e+01 
   185 :  1.5704110e+01 -2.3713572e+01 
   186 :  1.5628175e+01 -2.3761943e+01 
   187 :  1.5545895e+01 -2.3807016e+01 
   188 :  1.5458529e+01 -2.3848670e+01 
   189 :  1.5367332e+01 -2.3886781e+01 
   190 :  1.5273562e+01 -2.3921229e+01 
   191 :  1.5178475e+01 -2.3951891e+01 
   192 :  1.5083329e+01 -2.3978646e+01 
   193 :  1.4897883e+01 -2.4019946e+01 
   194 :  1.4727278e+01 -2.4044154e+01 
   195 :  1.4650683e+01 -2.4049545e+01 
   196 :  1.4581569e+01 -2.4050296e+01 
   197 :  1.4521192e+01 -2.4046288e+01 
   198 :  1.4470810e+01 -2.4037397e+01 
   199 :  1.4431678e+01 -2.4023502e+01 
   200 :  1.4405055e+01 -2.4004481e+01 
   201 :  1.4396826e+01 -2.3993010e+01 
   202 :  1.4392196e+01 -2.3980213e+01 
   203 :  1.4391321e+01 -2.3966072e+01 
   204 :  1.4394358e+01 -2.3950574e+01 
   205 :  1.4409340e+01 -2.3919774e+01 
   206 :  1.4434874e+01 -2.3885109e+01 
   207 :  1.4508575e+01 -2.3806007e+01 
   208 :  1.4597412e+01 -2.3716899e+01 
   209 :  1.4683334e+01 -2.3621416e+01 
   210 :  1.4729945e+01 -2.3557561e+01 
   211 :  1.4768316e+01 -2.3492581e+01 
   212 :  1.4799045e+01 -2.3426503e+01 
   213 :  1.4822729e+01 -2.3359351e+01 
   214 :  1.4839964e+01 -2.3291152e+01 
   215 :  1.4851347e+01 -2.3221930e+01 
   216 :  1.4857477e+01 -2.3151712e+01 
   217 :  1.4858949e+01 -2.3080523e+01 
   218 :  1.4637024e+01 -2.3132412e+01 
   219 :  1.4410728e+01 -2.3174009e+01 
   220 :  1.4180940e+01 -2.3205256e+01 
   221 :  1.3948540e+01 -2.3226093e+01 
   222 :  1.3714408e+01 -2.3236464e+01 
   223 :  1.3479423e+01 -2.3236310e+01 
   224 :  1.3244465e+01 -2.3225573e+01 
   225 :  1.3010413e+01 -2.3204195e+01 
   226 :  1.3007121e+01 -2.3288105e+01 
   227 :  1.2997953e+01 -2.3366393e+01 
   228 :  1.2983171e+01 -2.3439222e+01 
   229 :  1.2963038e+01 -2.3506754e+01 
   230 :  1.2937815e+01 -2.3569152e+01 
   231 :  1.2907765e+01 -2.3626580e+01 
   232 :  1.2873150e+01 -2.3679198e+01 
   233 :  1.2834232e+01 -2.3727171e+01 
   234 :  1.2791274e+01 -2.3770661e+01 
   235 :  1.2744537e+01 -2.3809830e+01 
   236 :  1.2694285e+01 -2.3844842e+01 
   237 :  1.2640779e+01 -2.3875859e+01 
   238 :  1.2584281e+01 -2.3903043e+01 
   239 :  1.2525054e+01 -2.3926558e+01 
   240 :  1.2463360e+01 -2.3946566e+01 
   241 :  1.2399461e+01 -2.3963230e+01 
   242 :  1.2266097e+01 -2.3987176e+01 
   243 :  1.2127060e+01 -2.3999697e+01 
   244 :  1.1984449e+01 -2.4002096e+01 
   245 :  1.1840360e+01 -2.3995673e+01 
   246 :  1.1696892e+01 -2.3981730e+01 
   247 :  1.1556142e+01 -2.3961570e+01 
